Budget,IMDB ID,Revenue
0,,0
0,,0
0,,0
0,tt0449029,0
0,,0
0,tt0474662,0
0,tt0096243,0
50000,tt0463971,0
0,tt0060463,0
74050,tt0368774,176153
1500000,tt0377749,0
50000000,tt0265087,33422806
17700000,tt0245686,30987695
30000000,tt0398712,35294470
0,tt2281245,0
0,tt0776283,0
0,tt0442312,0
0,tt0355527,0
0,tt0421108,0
0,tt0315705,0
2000000,tt0403933,1102000
0,tt0425743,0
0,tt0445965,0
0,tt0382382,75
30000000,tt0324554,13001257
19000000,tt0384806,108047131
90000000,tt0120660,250649836
12000000,tt0429153,875898
0,tt0385267,0
0,tt0471008,0
0,tt0451027,0
0,,0
0,tt0856067,0
0,tt0798731,0
0,tt0183639,0
0,tt0462721,0
0,tt0363587,0
0,tt0411674,0
0,tt0439280,0
0,tt0343663,0
0,tt0457414,0
0,tt0440464,0
200000,tt0469899,0
0,tt0313300,0
0,tt0413879,0
500000,tt0350774,0
0,tt0302297,0
40000000,tt0331933,21577624
0,tt0376181,0
3000000,tt0264323,0
19000000,tt0364751,69631118
4750000,tt0401815,206871
45000000,tt0342258,50871113
10000000,tt0365485,17297244
0,tt0406728,0
3500000,tt0302674,0
40000000,tt0401792,158733820
0,tt0962767,0
2500,tt0458439,0
0,tt0446689,0
0,tt0050900,0
0,tt0829177,0
0,tt0462837,0
4000000,tt0443619,0
0,tt0466406,0
0,tt0417686,0
0,tt0319728,0
0,tt0433696,0
0,tt0385560,0
0,tt0353324,0
0,tt0379306,0
0,tt0438205,0
0,tt0420291,0
30000000,tt0390022,61255921
25000000,tt0396652,27645491
0,tt0364343,548039
25000000,tt0316732,36609966
50000000,tt0377109,161451538
45000000,tt0384642,56070433
29000000,tt0366627,21733230
8000000,tt0398027,852872
6500000,tt0375912,11850214
43000000,tt0369735,154749918
32000000,tt0372588,50907422
120000000,tt0121765,649398328
0,tt0403217,1928985
1000000,tt0411705,1574623
0,,0
0,,0
0,tt0466458,0
0,tt0451239,0
0,tt2116939,0
0,tt0374201,0
0,tt0459387,0
0,tt0421199,0
0,tt0453446,0
15000000,tt0265298,52970014
50000000,tt0242445,79958599
13000000,tt0289879,96060858
1000000,tt0075148,117235147
92000000,tt0265086,172989651
0,,0
0,,0
0,,0
0,tt0441821,0
80000000,tt0318081,5989640
102000000,tt0244244,147080413
0,,0
0,,0
0,,0
0,tt0377372,0
0,tt0458502,0
0,,0
1000000,tt0461472,0
0,tt0466901,0
0,,0
0,tt0441645,0
0,tt0428965,0
0,,0
28000000,tt0349825,64445708
100000000,tt0360486,230884728
75,tt1423362,0
0,,0
0,,0
0,tt0463454,0
0,,0
0,,0
0,,0
0,,0
0,,0
